epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,123.63,0.91142,4.10184,1.37357,0.44887,0.35602,0.31986,0.23751,0.95902,2.65128,1.51156,8.10726e-05,8.10726e-05,8.10726e-05
2,220.416,0.94327,3.01383,1.39429,0.56399,0.5271,0.53547,0.38092,0.99628,1.95752,1.53571,0.00015919,0.00015919,0.00015919
3,314.084,0.93525,2.49454,1.36741,0.57984,0.55801,0.58488,0.41372,1.00693,1.82102,1.57165,0.000234087,0.000234087,0.000234087
4,414.221,0.91438,2.21411,1.35617,0.64416,0.62743,0.65429,0.47476,0.98667,1.56782,1.54788,0.000229506,0.000229506,0.000229506
5,506.934,0.89118,1.98509,1.33028,0.65003,0.65348,0.67302,0.483,0.98318,1.53195,1.51077,0.000224675,0.000224675,0.000224675
6,600.504,0.87749,1.85445,1.31959,0.71124,0.68299,0.72239,0.53158,0.93194,1.36733,1.46574,0.000219844,0.000219844,0.000219844
7,695.301,0.857,1.73451,1.3078,0.77396,0.65593,0.74953,0.55467,0.92548,1.31022,1.4468,0.000215013,0.000215013,0.000215013
8,789.172,0.84224,1.60651,1.28234,0.74444,0.72382,0.77056,0.57818,0.90517,1.21636,1.42702,0.000210182,0.000210182,0.000210182
9,883.451,0.84279,1.54508,1.28813,0.77928,0.69085,0.76894,0.57214,0.90268,1.20359,1.41278,0.00020535,0.00020535,0.00020535
10,978.024,0.82941,1.48298,1.27391,0.78062,0.72624,0.78681,0.59275,0.88355,1.15477,1.40735,0.000200519,0.000200519,0.000200519
11,1069.83,0.81347,1.42331,1.2688,0.8038,0.73303,0.80708,0.6092,0.89199,1.09415,1.40531,0.000195688,0.000195688,0.000195688
12,1161.7,0.81679,1.38289,1.26633,0.82293,0.73565,0.8049,0.60882,0.89596,1.09415,1.42528,0.000190857,0.000190857,0.000190857
13,1257.05,0.79473,1.30892,1.2474,0.7972,0.7494,0.80615,0.60959,0.89876,1.07697,1.40265,0.000186026,0.000186026,0.000186026
14,1354.4,0.79073,1.27211,1.24756,0.8202,0.76576,0.82328,0.62996,0.86637,1.02138,1.38023,0.000181194,0.000181194,0.000181194
15,1446.47,0.77405,1.22783,1.23348,0.83148,0.74093,0.82224,0.62965,0.85719,1.0274,1.38171,0.000176363,0.000176363,0.000176363
16,1539.79,0.77411,1.20052,1.2277,0.84588,0.76071,0.83146,0.63835,0.83936,1.00159,1.3486,0.000171532,0.000171532,0.000171532
17,1632.8,0.77503,1.16736,1.23066,0.83432,0.7585,0.83388,0.64461,0.8499,0.97208,1.35501,0.000166701,0.000166701,0.000166701
18,1732.02,0.76449,1.1308,1.22521,0.83495,0.77578,0.83997,0.65016,0.83869,0.96085,1.34183,0.00016187,0.00016187,0.00016187
19,1835.39,0.75432,1.09448,1.21534,0.82897,0.78626,0.84426,0.64923,0.84767,0.93278,1.36214,0.000157038,0.000157038,0.000157038
20,1940.16,0.75676,1.07961,1.22102,0.82545,0.79706,0.84496,0.65941,0.81373,0.91807,1.32391,0.000152207,0.000152207,0.000152207
21,2031.72,0.73398,1.04566,1.2004,0.83439,0.78725,0.84822,0.65847,0.82208,0.91452,1.34679,0.000147376,0.000147376,0.000147376
22,2134.55,0.72535,1.03228,1.19528,0.84762,0.78918,0.84435,0.65716,0.82815,0.89956,1.33896,0.000142545,0.000142545,0.000142545
23,2238.66,0.7313,1.00052,1.19884,0.83799,0.80403,0.8507,0.67492,0.80268,0.89444,1.31852,0.000137714,0.000137714,0.000137714
24,2343.88,0.72755,0.99458,1.20038,0.83849,0.79193,0.8418,0.65669,0.83,0.90705,1.33506,0.000132882,0.000132882,0.000132882
25,2445.25,0.71515,0.97278,1.19105,0.83919,0.77879,0.84405,0.66368,0.81697,0.90491,1.32918,0.000128051,0.000128051,0.000128051
26,2549.78,0.7075,0.94774,1.17747,0.84682,0.80943,0.85501,0.67428,0.80261,0.8529,1.30519,0.00012322,0.00012322,0.00012322
27,2653.95,0.70145,0.93398,1.18047,0.85386,0.79719,0.85517,0.67368,0.81351,0.87634,1.32058,0.000118389,0.000118389,0.000118389
28,2749.19,0.69851,0.92007,1.17542,0.85269,0.80167,0.86314,0.6825,0.79422,0.84689,1.30394,0.000113558,0.000113558,0.000113558
29,2844.7,0.69209,0.90643,1.17262,0.82545,0.827,0.86386,0.67577,0.81031,0.84878,1.30931,0.000108726,0.000108726,0.000108726
30,2940.84,0.68927,0.89604,1.17057,0.8583,0.80883,0.86826,0.68889,0.79036,0.82806,1.30309,0.000103895,0.000103895,0.000103895
31,3036.63,0.6842,0.87321,1.16667,0.84412,0.82213,0.86035,0.68228,0.7937,0.83928,1.31097,9.9064e-05,9.9064e-05,9.9064e-05
32,3129.58,0.6791,0.85335,1.16383,0.85414,0.81728,0.86892,0.69055,0.79222,0.80215,1.3095,9.42328e-05,9.42328e-05,9.42328e-05
33,3222.17,0.6798,0.84167,1.16332,0.83416,0.82949,0.86572,0.69119,0.77508,0.80552,1.28933,8.94016e-05,8.94016e-05,8.94016e-05
34,3315.35,0.66979,0.85003,1.16035,0.85751,0.81732,0.86853,0.69019,0.78963,0.82339,1.30488,8.45704e-05,8.45704e-05,8.45704e-05
35,3409.76,0.66713,0.82187,1.15115,0.86254,0.81451,0.87053,0.69347,0.7822,0.801,1.2961,7.97392e-05,7.97392e-05,7.97392e-05
36,3502.86,0.66036,0.80057,1.14966,0.86028,0.8196,0.8681,0.69127,0.78678,0.80521,1.29968,7.4908e-05,7.4908e-05,7.4908e-05
37,3596.58,0.65906,0.79245,1.14557,0.85838,0.83152,0.87194,0.69893,0.77438,0.79162,1.29037,7.00768e-05,7.00768e-05,7.00768e-05
38,3689.85,0.65423,0.80559,1.14734,0.86793,0.82909,0.87471,0.6969,0.77933,0.78726,1.28965,6.52456e-05,6.52456e-05,6.52456e-05
39,3782.95,0.64866,0.77116,1.13273,0.863,0.83023,0.8711,0.69769,0.7791,0.78083,1.28435,6.04144e-05,6.04144e-05,6.04144e-05
40,3874.18,0.64339,0.7684,1.13844,0.85073,0.82423,0.86889,0.69431,0.77884,0.79105,1.29061,5.55832e-05,5.55832e-05,5.55832e-05
41,4008.99,0.5714,0.63403,1.13545,0.85137,0.83598,0.87069,0.69999,0.75519,0.7789,1.27423,5.0752e-05,5.0752e-05,5.0752e-05
42,4099.04,0.55426,0.58407,1.11712,0.85547,0.83813,0.87412,0.70677,0.75486,0.7577,1.278,4.59208e-05,4.59208e-05,4.59208e-05
43,4185.69,0.54219,0.56334,1.1137,0.84993,0.852,0.88209,0.71356,0.74559,0.74547,1.26142,4.10896e-05,4.10896e-05,4.10896e-05
44,4274.21,0.53724,0.55252,1.10684,0.86726,0.82584,0.87868,0.71009,0.74695,0.7533,1.2626,3.62584e-05,3.62584e-05,3.62584e-05
